"MachineName";"Port";"Open"
"deint116";"21";"False"
"deint116";"23";"False"
"deint116";"69";"False"
"deint116";"80";"False"
"deint116";"119";"False"
"deint12";"20";"False"
"deint12";"21";"False"
"deint12";"23";"False"
"deint12";"69";"False"
"deint12";"80";"False"
"deint12";"119";"False"
"deint163";"20";"False"
"deint163";"21";"False"
"deint163";"23";"False"
"deint163";"69";"False"
"deint163";"80";"False"
"deint163";"119";"False"
"deint165";"20";"False"
"deint165";"21";"False"
"deint165";"23";"False"
"deint165";"69";"False"
"deint165";"80";"False"
"deint165";"119";"False"
"deint172";"20";"False"
"deint172";"21";"False"
"deint172";"23";"False"
"deint172";"69";"False"
"deint172";"80";"False"
"deint172";"119";"False"
"deint179";"20";"False"
"deint179";"21";"False"
"deint179";"23";"False"
"deint179";"69";"False"
"deint179";"80";"False"
"deint179";"119";"False"
"deint183";"20";"False"
"deint183";"21";"False"
"deint183";"23";"False"
"deint183";"69";"False"
"deint183";"80";"False"
"deint183";"119";"False"
"deint184";"20";"False"
"deint184";"21";"False"
"deint184";"23";"False"
"deint184";"69";"False"
"deint184";"80";"False"
"deint184";"119";"False"
"deint185";"20";"False"
"deint185";"21";"False"
"deint185";"23";"False"
"deint185";"69";"False"
"deint185";"80";"False"
"deint185";"119";"False"
"deint192";"20";"False"
"deint192";"21";"False"
"deint192";"23";"False"
"deint192";"69";"False"
"deint192";"80";"False"
"deint192";"119";"False"
"deint194";"20";"False"
"deint194";"21";"False"
"deint194";"23";"False"
"deint194";"69";"False"
"deint194";"80";"True"
"deint194";"119";"False"
"deint195";"20";"False"
"deint195";"21";"False"
"deint195";"23";"False"
"deint195";"69";"False"
"deint195";"80";"False"
"deint195";"119";"False"
"deint203";"20";"False"
"deint203";"21";"False"
"deint203";"23";"False"
"deint203";"69";"False"
"deint203";"80";"False"
"deint203";"119";"False"
"deint208";"20";"False"
"deint208";"21";"False"
"deint208";"23";"False"
"deint208";"69";"False"
"deint208";"80";"True"
"deint208";"119";"False"
"deint211";"20";"False"
"deint211";"21";"False"
"deint211";"23";"False"
"deint211";"69";"False"
"deint211";"80";"False"
"deint211";"119";"False"
"deint212";"20";"False"
"deint212";"21";"False"
"deint212";"23";"False"
"deint212";"69";"False"
"deint212";"80";"False"
"deint212";"119";"False"
"deint215";"20";"False"
"deint215";"21";"False"
"deint215";"23";"False"
"deint215";"69";"False"
"deint215";"80";"False"
"deint215";"119";"False"
"deint216";"20";"False"
"deint216";"21";"False"
"deint216";"23";"False"
"deint216";"69";"False"
"deint216";"80";"False"
"deint216";"119";"False"
"deint218";"20";"False"
"deint218";"21";"False"
"deint218";"23";"False"
"deint218";"69";"False"
"deint218";"80";"False"
"deint218";"119";"False"
"deint219";"20";"False"
"deint219";"21";"False"
"deint219";"23";"False"
"deint219";"69";"False"
"deint219";"80";"False"
"deint219";"119";"False"
"deint220";"20";"False"
"deint220";"21";"False"
"deint220";"23";"False"
"deint220";"69";"False"
"deint220";"80";"True"
"deint220";"119";"False"
"deint221";"20";"False"
"deint221";"21";"False"
"deint221";"23";"False"
"deint221";"69";"False"
"deint221";"80";"False"
"deint221";"119";"False"
"deint226";"20";"False"
"deint226";"21";"False"
"deint226";"23";"False"
"deint226";"69";"False"
"deint226";"80";"False"
"deint226";"119";"False"
"deint228";"20";"False"
"deint228";"21";"False"
"deint228";"23";"False"
"deint228";"69";"False"
"deint228";"80";"True"
"deint228";"119";"False"
"deint229";"20";"False"
"deint229";"21";"False"
"deint229";"23";"False"
"deint229";"69";"False"
"deint229";"80";"True"
"deint229";"119";"False"
"deint230";"20";"False"
"deint230";"21";"False"
"deint230";"23";"False"
"deint230";"69";"False"
"deint230";"80";"False"
"deint230";"119";"False"
"deint231";"20";"False"
"deint231";"21";"False"
"deint231";"23";"False"
"deint231";"69";"False"
"deint231";"80";"False"
"deint231";"119";"False"
"deint236";"20";"False"
"deint236";"21";"False"
"deint236";"23";"False"
"deint236";"69";"False"
"deint236";"80";"False"
"deint236";"119";"False"
"deint237";"20";"False"
"deint237";"21";"False"
"deint237";"23";"False"
"deint237";"69";"False"
"deint237";"80";"False"
"deint237";"119";"False"
"deint238";"20";"False"
"deint238";"21";"False"
"deint238";"23";"False"
"deint238";"69";"False"
"deint238";"80";"True"
"deint238";"119";"False"
"deint23";"20";"False"
"deint23";"21";"False"
"deint23";"23";"False"
"deint23";"69";"False"
"deint23";"80";"False"
"deint23";"119";"False"
"deint240";"20";"False"
"deint240";"21";"False"
"deint240";"23";"False"
"deint240";"69";"False"
"deint240";"80";"False"
"deint240";"119";"False"
"deint241";"20";"False"
"deint241";"21";"False"
"deint241";"23";"False"
"deint241";"69";"False"
"deint241";"80";"False"
"deint241";"119";"False"
"deint242";"20";"False"
"deint242";"21";"False"
"deint242";"23";"False"
"deint242";"69";"False"
"deint242";"80";"False"
"deint242";"119";"False"
"deint244";"20";"False"
"deint244";"21";"False"
"deint244";"23";"False"
"deint244";"69";"False"
"deint244";"80";"True"
"deint244";"119";"False"
"deint246";"20";"False"
"deint246";"21";"False"
"deint246";"23";"False"
"deint246";"69";"False"
