"Devicename";"Deviceaddress";"Devicetype"
"nldhnt85";"10.51.40.70";"Microsoft_OS_Windows"
"nldhnt86";"10.51.40.71";"Microsoft_OS_Windows"
"nldhnt87";"10.51.40.72";"Microsoft_OS_Windows"
"nldhnt88";"10.51.40.73";"Microsoft_OS_Windows"
"nldhnt89";"10.51.40.74";"Microsoft_OS_Windows"
"noint6";"138.103.117.132";"Microsoft_OS_Windows"
"noint8";"164.4.125.60";"Microsoft_OS_Windows"
"plbnt02";"10.38.112.80";"Microsoft_OS_Windows"
"plint12";"164.4.196.52";"Microsoft_OS_Windows"
"plint1";"164.4.188.235";"Microsoft_OS_Windows"
"plint8";"164.4.188.11";"Microsoft_OS_Windows"
"plint9";"164.4.196.48";"Microsoft_OS_Windows"
"rudnt12";"138.103.86.94";"Microsoft_OS_Windows"
"se01pnm01ir01wm";"158.98.187.78";"Microsoft_OS_Windows"
"secnt75";"164.4.118.28";"Microsoft_OS_Windows"
"sedlns14";"164.4.31.110";"Microsoft_OS_Windows"
"sedlns22";"164.4.30.19";"Microsoft_OS_Windows"
"sedlns23";"138.103.86.39";"Microsoft_OS_Windows"
"sedlns28";"164.4.30.29";"Microsoft_OS_Windows"
"sedlns33";"164.4.30.88";"Microsoft_OS_Windows"
"sedlns40";"164.4.30.51";"Microsoft_OS_Windows"
"sedlns53";"164.4.31.149";"Microsoft_OS_Windows"
"sedlns57";"164.4.32.64";"Microsoft_OS_Windows"
"sedlns70";"164.4.33.179";"Microsoft_OS_Windows"
"sedlns90";"164.4.30.141";"Microsoft_OS_Windows"
"sedlns94";"164.4.30.223";"Microsoft_OS_Windows"
"sedlns97";"164.4.32.49";"Microsoft_OS_Windows"
"sedlns98";"164.4.32.104";"Microsoft_OS_Windows"
"sednt1065";"164.4.173.106";"Microsoft_OS_Windows"
"sednt1066";"164.4.173.162";"Microsoft_OS_Windows"
"sednt1067";"164.4.173.104";"Microsoft_OS_Windows"
"sednt1068";"164.4.172.25";"Microsoft_OS_Windows"
"sednt1301";"164.4.32.190";"Microsoft_OS_Windows"
"sednt1357";"138.103.144.172";"Microsoft_OS_Windows"
"sednt1656";"164.4.67.64";"Microsoft_OS_Windows"
"sednt1657";"164.4.67.67";"Microsoft_OS_Windows"
"sednt1711";"164.4.67.121";"Microsoft_OS_Windows"
"sednt1806";"164.4.67.216";"Microsoft_OS_Windows"
"sednt1866";"164.4.184.18";"Microsoft_OS_Windows"
"sednt2120";"164.4.184.216";"Microsoft_OS_Windows"
"sednt2278";"164.4.41.102";"Microsoft_OS_Windows"
"sednt2337";"138.103.86.67";"Microsoft_OS_Windows"
"sednt2338";"138.103.86.68";"Microsoft_OS_Windows"
"sednt2419";"138.103.86.101";"Microsoft_OS_Windows"
"sednt2420";"138.103.86.102";"Microsoft_OS_Windows"
"sednt2421";"138.103.86.103";"Microsoft_OS_Windows"
"sednt2430";"138.103.86.112";"Microsoft_OS_Windows"
"sednt2444";"138.103.86.126";"Microsoft_OS_Windows"
"sednt2466";"138.103.86.159";"Microsoft_OS_Windows"
"sednt2467";"138.103.86.160";"Microsoft_OS_Windows"
"sednt2468";"138.103.86.161";"Microsoft_OS_Windows"
"sednt2469";"138.103.86.162";"Microsoft_OS_Windows"
"sednt2490";"138.103.86.183";"Microsoft_OS_Windows"
"sednt2567";"164.4.86.61";"Microsoft_OS_Windows"
"sednt2617";"164.4.86.102";"Microsoft_OS_Windows"
"sednt2867";"164.4.87.79";"Microsoft_OS_Windows"
"sednt489";"164.4.32.212";"Microsoft_OS_Windows"
